# manifest.tsv  —  arxiv_id <TAB> subdir <TAB> filename
# High-confidence classics (canonical IDs). Uncertain ones await agent verification.
# --- policy gradient ---
1506.02438	02_policy_gradient	GAE_High-Dim-Continuous-Control-Generalized-Advantage-Estimation_Schulman2015_1506.02438.pdf
1602.01783	03_actor_critic	A3C_Asynchronous-Methods-for-Deep-RL_Mnih2016_1602.01783.pdf
# --- value based / dqn ---
1312.5602	04_value_based_dqn	DQN_Playing-Atari-with-Deep-RL_Mnih2013_1312.5602.pdf
1509.06461	04_value_based_dqn	DoubleDQN_Deep-RL-with-Double-Q-learning_vanHasselt2015_1509.06461.pdf
1511.05952	04_value_based_dqn	PER_Prioritized-Experience-Replay_Schaul2015_1511.05952.pdf
1511.06581	04_value_based_dqn	DuelingDQN_Dueling-Network-Architectures_Wang2015_1511.06581.pdf
1710.02298	04_value_based_dqn	Rainbow_Combining-Improvements-Deep-RL_Hessel2017_1710.02298.pdf
1707.06887	04_value_based_dqn	C51_Distributional-Perspective-on-RL_Bellemare2017_1707.06887.pdf
1802.09477	03_actor_critic	TD3_Addressing-Function-Approximation-Error_Fujimoto2018_1802.09477.pdf
1509.02971	03_actor_critic	DDPG_Continuous-Control-Deep-RL_Lillicrap2015_1509.02971.pdf
1802.01561	03_actor_critic	IMPALA_Scalable-Distributed-Deep-RL_Espeholt2018_1802.01561.pdf
# --- trust region / ppo ---
1502.05477	06_trust_region_ppo	TRPO_Trust-Region-Policy-Optimization_Schulman2015_1502.05477.pdf
1707.06347	06_trust_region_ppo	PPO_Proximal-Policy-Optimization_Schulman2017_1707.06347.pdf
# --- max entropy / sac ---
1801.01290	05_max_entropy_sac	SAC_Soft-Actor-Critic_Haarnoja2018_1801.01290.pdf
1812.05905	05_max_entropy_sac	SAC-Apps_Soft-Actor-Critic-Algorithms-and-Applications_Haarnoja2018_1812.05905.pdf
1702.08165	05_max_entropy_sac	SoftQ_RL-with-Deep-Energy-Based-Policies_Haarnoja2017_1702.08165.pdf
# --- model based / world models ---
1708.02596	07_model_based	NN-Dynamics-MBRL-with-Model-Free-Finetuning_Nagabandi2017_1708.02596.pdf
1906.08253	07_model_based	MBPO_When-to-Trust-Your-Model_Janner2019_1906.08253.pdf
1805.12114	07_model_based	PETS_Deep-RL-in-a-Handful-of-Trials_Chua2018_1805.12114.pdf
1912.01603	15_world_models_planning	Dreamer_Dream-to-Control_Hafner2019_1912.01603.pdf
1811.04551	15_world_models_planning	PlaNet_Learning-Latent-Dynamics-for-Planning-from-Pixels_Hafner2018_1811.04551.pdf
1803.10122	15_world_models_planning	WorldModels_Ha-Schmidhuber2018_1803.10122.pdf
# --- offline rl ---
1812.02900	08_offline_rl	BCQ_Off-Policy-Deep-RL-without-Exploration_Fujimoto2018_1812.02900.pdf
1906.00949	08_offline_rl	BEAR_Stabilizing-Off-Policy-Q-Learning_Kumar2019_1906.00949.pdf
2006.04779	08_offline_rl	CQL_Conservative-Q-Learning_Kumar2020_2006.04779.pdf
2005.01643	08_offline_rl	OfflineRL-Tutorial-Review-Perspectives_Levine2020_2005.01643.pdf
2106.01345	08_offline_rl	DecisionTransformer_RL-via-Sequence-Modeling_Chen2021_2106.01345.pdf
2004.07219	08_offline_rl	D4RL_Datasets-for-Deep-Data-Driven-RL_Fu2020_2004.07219.pdf
# --- exploration ---
1606.01868	09_exploration	CTS_Unifying-Count-Based-Exploration-Intrinsic-Motivation_Bellemare2016_1606.01868.pdf
1705.05363	09_exploration	ICM_Curiosity-driven-Exploration_Pathak2017_1705.05363.pdf
